UpdateTime	TopWait
2025-06-22 00:30	> 1
2025-06-22 00:45	> 1
2025-06-22 01:15	> 1
2025-06-22 01:30	> 1
2025-06-22 01:45	> 1
2025-06-22 02:30	> 1
2025-06-22 02:45	> 1
2025-06-22 03:15	> 1
2025-06-22 04:15	> 1
2025-06-22 04:30	> 1
2025-06-22 04:45	> 1
2025-06-22 05:15	> 1
2025-06-22 06:15	> 1
2025-06-22 06:30	> 1
2025-06-22 06:45	> 1
2025-06-22 07:15	> 1
2025-06-22 07:30	> 1
2025-06-22 07:45	> 1
2025-06-22 10:15	> 2
2025-06-22 11:30	> 2
2025-06-22 12:15	> 3
2025-06-22 12:45	> 3
2025-06-22 12:45	> 3
2025-06-22 13:15	> 3
2025-06-22 13:30	> 3
2025-06-22 13:45	> 4
2025-06-22 14:30	> 4
2025-06-22 14:45	> 4
2025-06-22 15:15	> 4
2025-06-22 15:30	> 4
2025-06-22 15:45	> 5
2025-06-22 16:30	> 5
2025-06-22 16:45	> 5
2025-06-22 16:45	> 5
2025-06-22 17:15	> 5
2025-06-22 17:30	> 5
2025-06-22 17:45	> 5
2025-06-22 18:45	> 5
2025-06-22 19:15	> 5
2025-06-22 19:30	> 4
2025-06-22 19:45	> 4
2025-06-22 20:45	> 3
2025-06-22 21:30	> 3
2025-06-22 21:30	> 3
2025-06-22 21:45	> 3
2025-06-22 22:15	> 3
2025-06-22 22:30	> 3
2025-06-22 22:45	> 3
2025-06-22 23:15	> 2
2025-06-22 23:30	> 2
2025-06-22 23:45	> 2
