UpdateTime	TopWait
2024-08-14 00:30	> 7
2024-08-14 00:45	> 7
2024-08-14 01:15	> 7
2024-08-14 01:30	> 7
2024-08-14 01:45	> 7
2024-08-14 02:15	> 7
2024-08-14 02:30	> 7
2024-08-14 02:45	> 7
2024-08-14 03:15	> 7
2024-08-14 03:15	> 7
2024-08-14 03:30	> 7
2024-08-14 03:45	> 7
2024-08-14 04:15	> 7
2024-08-14 04:30	> 7
2024-08-14 04:45	> 7
2024-08-14 05:15	> 7
2024-08-14 05:30	> 7
2024-08-14 05:45	> 7
2024-08-14 06:15	> 6
2024-08-14 06:30	> 6
2024-08-14 06:45	> 6
2024-08-14 07:15	> 6
2024-08-14 07:30	> 6
2024-08-14 07:45	> 6
2024-08-14 09:30	> 5
2024-08-14 10:15	> 2
2024-08-14 10:45	> 1
2024-08-14 11:15	> 1
2024-08-14 11:45	> 2
2024-08-14 12:15	> 2
2024-08-14 12:30	> 2
2024-08-14 12:45	> 2
2024-08-14 13:15	> 2
2024-08-14 13:30	> 2
2024-08-14 13:45	> 2
2024-08-14 14:15	> 2
2024-08-14 14:30	> 4
2024-08-14 14:45	> 4
2024-08-14 15:15	> 4
2024-08-14 15:15	> 4
2024-08-14 15:30	> 4
2024-08-14 15:45	> 4
2024-08-14 16:15	> 4
2024-08-14 16:30	> 5
2024-08-14 16:45	> 5
2024-08-14 17:15	> 5
2024-08-14 17:30	> 5
2024-08-14 17:45	> 6
2024-08-14 18:15	> 6
2024-08-14 18:30	> 6
2024-08-14 18:45	> 6
2024-08-14 19:15	> 6
2024-08-14 19:15	> 6
2024-08-14 19:30	> 6
2024-08-14 19:45	> 6
2024-08-14 20:30	> 6
2024-08-14 21:00	> 6
2024-08-14 21:15	> 8
2024-08-14 21:30	> 8
2024-08-14 21:45	> 8
2024-08-14 22:15	> 8
2024-08-14 22:30	> 8
2024-08-14 22:45	> 8
2024-08-14 23:15	> 8
2024-08-14 23:30	> 8
2024-08-14 23:45	> 8
